Название,Жанр,Режиссер,Страны,Год,IMDb
«Чудотворец» из Бирюлёва,игровое кино,Борис Эпштейн,СССР,1958,
55 (фильм),документальный фильм,Никита Михалков,Россия,2007,
1+1: Голливудская история,комедийная драма,Нил Бёргер,США,"2017, 2019",7.0
(Не)идеальные роботы,"комедия, фантастика, мелодрамма","Энтони Хайнс, Каспер Кристенсен",США,2023,5.5
1+1 (фильм),"комедийная драма, бадди-муви","Оливье Накаш, Эрик Толедано",Франция,2011,8.5
1 миля до тебя,"драма, мелодрама",Лейф Тильден,США,2017,6.3
«SOS» над тайгой,"драма, приключения","Аркадий Кольцатый, Валентин Перов",СССР,1976,4.9
1 (документальный фильм),документальный,Пол Краудер,США,2013,7.9
01-99,комедия,Амасий Мартиросян,СССР,1959,7.7
0-41*,"документальный, драма, комедия",Сенна Хегде,Индия,2016,8.9
1 % (фильм),криминальный,Стив МакКаллум,Австралия,2017,5.3
? (фильм),драматический фильм,Ханун Брамантйо,Индонезия,"7 апреля, 2011",7.0
51 (фильм),"фантастика, фильм ужасов",Джейсон Коннери,США,2011,3.5
…а пятый всадник — Страх,"драма, военный, арт-хаус",Збынек Брыных,Чехословакия,1965,7.2
55 дней в Пекине,"драма, исторический, военный",Николас Рэй,США,1963,6.7
Автор (фильм),"драма, комедия",Мануэль Мартин Куенка,"Испания, Мексика",2017,6.5
Автомобильные воры,драма,Дж. Стюарт Блэктон,США,,7.7
Автопробег «Париж — Нью-Йорк»,фантастика,Жорж Мельес,"Франция, Нью-Йорк, Германия, Сибирь",1908,5.5
50 таблеток,Драма,Тео Эвгерино,США,2006,4.9
42-я улица (фильм),"комедия, мюзикл, мелодрама","Ллойд Бэкон, Басби Беркли",США,1933,7.3
Автомат (фильм),документальный фильм,Лиза Гурвиц,США,2021,7.8
"Автомобиль (фильм, 1977)","фильм ужасов, фильм-тайна, фильм-триллер",Эллиот Силверштейн,США,"13 мая, 1977, 13 августа, 1977, 15 сентября, 1977, 28 сентября, 1977, 10 октября, 1977, 10 ноября, 1977, 23 ноября, 1977, 22 декабря, 1977, 23 декабря, 1977, 19 января, 1978, 2 июня, 1978, 22 июня, 1978, 4 мая, 1979, 1980",6.1
Автобусная остановка (фильм),"комедийная, драма",Джошуа Логан,США,1956,6.3
"Автомобили, которые съели Париж","фильм ужасов, комедия",Питер Уир,Австралия,1974,5.6
Автомобиль на крыше,"исторический, комедия, драма, экранизация",Дмитрий Кесаянц,СССР,1980,3.8
Автокатастрофа (фильм),"драма, триллер",Дэвид Кроненберг,"Канада, Великобритания","17 мая, 1996, 4 октября, 1996, 31 октября, 1996, 1996",6.4
Алексеич,"новелла, киноповесть, экранизация",Людмила Салдадзе,,1970,
Амитивилль 6: Проклятые часы,фильм ужасов,Тони Рэндл,США,1992,4.7
Амели,романтическая комедия,Жан-Пьер Жёне,Франция,2001,8.3
"Алиби (фильм, 1931)",детектив,Лесли Хискотт,Великобритания,1931,7.3
Амитивилль 7: Новое поколение,фильм ужасов,Джон Марловски,США,1993,3.9
Айседора (фильм),драма,Карел Рейш,Великобритания,1968,6.9
Амитивилль 4: Зло спасается,"ужасы, триллер",Сэндэр Стерн,США,1989,4.4
Анчартед: На картах не значится,"боевик, приключения",Рубен Флейшер,США,2022,6.3
"Анфиса (фильм, 1912)",драма,Яков Протазанов,Российская империя,1912,6.0
Антуан и Антуанетта,комедия,Жак Беккер,Франция,1947,7.4
Антураж (фильм),"комедия, драма",Даг Эллин,США,2015,6.5
Антрацит (фильм),"социальная драма, производственный фильм",Александр Сурин,СССР,1971,5.7
Антропофаг (фильм),фильм ужасов,Джо Д'Амато,Италия,1980,5.3
Антракт (фильм),"фэнтезийный фильм, немое кино",Рене Клер,Франция,1924,7.3
Атлант расправил плечи: Часть 1,"драма, фантастика",Пол Йоханссон,США,2011,5.6
Антропоид (фильм),военная драма,"Шон Эллис, рус.","Чехия, Великобритания, Франция",2016,7.2
Аткинс (фильм),"Вестерн, Драма",Helge Trimpert,"ГДР, Румыния",1985,6.2
"Аталия (фильм, 1910)",трагедия,"Мишель Карре, Альбер Капеллани",Франция,1910,
Атаки 26/11,"триллер, докудрама, криминальный, исторический",Рам Гопал Варма,Индия,2013,6.9
Атаман Кодр,"драма, киноповесть","Михаил Калик, Борис Рыцарев, Ольга Улицкая",СССР,1958,6.1
Атакующая группа «Зет»,боевик,Тим Бёрсталл,Австралия,1982,5.4
"Балерина (фильм, 2024)","боевик, триллер",Лен Уайзман,США,2024,
Бабье царство (фильм),"Военная, драма",Алексей Салтыков,СССР,1967,7.2
"Балерина (фильм, 1993)",драма,Александр Згуриди,Россия,1993,5.7
"Беглец (фильм, 1993)","детективный фильм, триллер",Эндрю Дэвис,США,1993,7.8
"Беглец (фильм, 1914)",Драма,Александр Волков,Российская империя,1914,6.0
Балет пуль,"драма, триллер",Синъя Цукамото,Япония,1998,6.9
"Беги, Лола, беги",триллер,Том Тыквер,Германия,1998,7.7
"Беги, если сможешь!",драма,Дитрих Брюггеманн,Германия,2010,7.2
"Беглец (фильм, 1947)",драма,Джон Форд,"США, Мексика",1947,6.3
Бег иноходца (фильм),мелодрама,Сергей Урусевский,СССР,1968,7.3
